VÉHICULES;PRIX USINE;PRIX VENTE
COMPACTS;;
Blista;8 000;30 400
Brioso R/A;18 000;68 400
Issi;10 000;38 000
Panto;10 000;38 000
Prairie;12 000;45 600
COUPÉS;;
Cognoscenti Cabrio;55 000;209 000
Exemplar;32 000;121 600
F620;40 000;152 000
Felon;42 000;159 600
Felon GT;55 000;209 000
Jackal;38 000;144 400
Oracle XS;35 000;133 000
Sentinel;32 000;121 600
Sentinel XS;40 000;152 000
Windsor;95 000;361 000
Windsor Drop;125 000;475 000
Zion;36 000;136 800
Zion  Cabrio;45 000;171 000
GABZ;;
Pfister2;600 000;2 280 000
Argento 7F;500 000;1 900 000
Club XR;400 000;1 520 000
Pfister Comet S2 Rally Custom;1 260 000;4 788 000
Dodge charger Esperta;1 000 000;3 800 000
Gresley STX;600 000;2 280 000
Bravado Harmann;907 200;3 447 360
Biriz SZ;400 000;1 520 000
Mini Cooper S (Issi Metro);900 000;3 420 000
Toyota Hilux Mojave;1 200 000;4 560 000
Benefactor Schwartzer S;1 008 000;3 830 400
Obey Sentinel GTS;1 159 200;4 404 960
Volvo Starlight;900 000;3 420 000
TenF R;1 108 000;4 213 440
Jaguar XE SV Project 8;1 200 000;4 560 000
Mazda ZR 350;756 000;2 872 800
MOTOS;;
Akuma;7 500;28 500
Avarus;18 000;68 400
Bagger;13 500;51 300
Bati 801;12 000;45 600
Bati 801RR;19 000;72 200
BF400;6 500;24 700
BMX (Vélo);160;608
Carbon RS;18 000;68 400
Chimera;38 000;144 400
Cliffhanger;9 500;36 100
Cruiser (Vélo);510;1 938
Daemon;11 500;43 700
Daemon High;13 500;51 300
Defiler;9 800;37 240
Double T;28 000;106 400
Enduro;5 500;20 900
Esskey;4 200;15 960
Faggio;1 900;7 220
Vespa;2 800;10 640
Fixter (Vélo);225;855
Gargoyle;16 500;62 700
Hakuchou;31 000;117 800
Hakuchou Sport;55 000;209 000
Hexer ;12 000;45 600
Innovation;23 500;89 300
Manchez;5 300;20 140
Nemesis;5 800;22 040
Nightblade;35 000;133 000
PCJ-600;6 200;23 560
Ruffian;6 800;25 840
Sanchez;5 300;20 140
Sanchez Sport;5 300;20 140
Sanctus;25 000;95 000
Scorcher (Vélo);280;1 064
Shotaro Concept;320 000;1 216 000
Sovereign;22 000;83 600
Thrust;24 000;91 200
Tri bike (Vélo);520;1 976
Vader;7 200;27 360
Vortex;9 800;37 240
Wofisbane;9 000;34 200
Zombie;9 500;36 100
Zombie luxuary;12 000;45 600
MUSCLE;;
Blade;15 000;57 000
Buccaneer;18 000;68 400
Buccaneer Rider;24 000;91 200
Chino;15 000;57 000
Chino Luxe;19 000;72 200
Coquette BlackFin;55 000;209 000
Dominator;35 000;133 000
Dukes;28 000;106 400
Faction;20 000;76 000
Faction Rider;30 000;114 000
Faction XL;40 000;152 000
Gauntlet;30 000;114 000
Hermes;535 000;2 033 000
Hotknife;125 000;475 000
Hustler;625 000;2 375 000
Nightshade;65 000;247 000
Phoenix;12 500;47 500
Picador;18 000;68 400
Ruiner 2 ;5 745 600;21 833 280
Sabre Turbo;20 000;76 000
Sabre GT;25 000;95 000
Slam Van;11 500;43 700
Tampa;16 000;60 800
Vigero;12 500;47 500
Virgo;14 000;53 200
Voodoo;7 200;27 360
Yoosemite;485 000;1 843 000
TOUT-TERRAIN;;
Bf injection;16 000;60 800
Bifta;12 000;45 600
Blazer;6 500;24 700
Blazer Sport;8 500;32 300
Blazer5;1 755 600;6 671 280
Brawler;45 000;171 000
Bubsta 6x6;120 000;456 000
Dune Buggy;8 000;30 400
Guardian;45 000;171 000
Kamacho;345 000;1 311 000
The Liberator;210 000;798 000
Rebel;35 000;133 000
Riata;380 000;1 444 000
Sandking;55 000;209 000
Trophy Truck;60 000;228 000
Trophy Truck Limited;80 000;304 000
BERLINES;;
Asea;5 500;20 900
Cognoscenti;55 000;209 000
Emperor;8 500;32 300
Fugitive;12 000;45 600
Glendale;6 500;24 700
Intruder;7 500;28 500
Premier;8 000;30 400
Primo Custom;14 000;53 200
Regina;5 000;19 000
Shafter;25 000;95 000
Stretch;90 000;342 000
Super Diamond;130 000;494 000
Tailgater;30 000;114 000
Warrener;4 000;15 200
Washington;9 000;34 200
SPORTIVES;;
Alpha;60 000;228 000
Banshee;70 000;266 000
Bestia GTS;55 000;209 000
Buffalo;12 000;45 600
Buffalo S;20 000;76 000
Carbonizzare;75 000;285 000
Comet;65 000;247 000
Comet 5;1 145 000;4 351 000
Coquette;65 000;247 000
Elegy;38 500;146 300
Feltzer;55 000;209 000
Furore GT;45 000;171 000
Fusilade;40 000;152 000
Jester;65 000;247 000
Jester (Racecar);135 000;513 000
Khamelion;38 000;144 400
Kuruma;30 000;114 000
Lynx;40 000;152 000
Mamba;70 000;266 000
Massacro;65 000;247 000
Massacro (Racecar);130 000;494 000
Neon;1 500 000;5 700 000
9F;65 000;247 000
9F Cabrio;80 000;304 000
Omnis;35 000;133 000
Pariah;1 420 000;5 396 000
Penumbra;28 000;106 400
Raiden;1 375 000;5 225 000
Rapid GT;35 000;133 000
Rapid GT Convertible;45 000;171 000
Revolter;1 610 000;6 118 000
Schafter V12;50 000;190 000
Sentinel 3;650 000;2 470 000
Seven 70;39 500;150 100
Streiter;500 000;1 900 000
Stromberg;3 185 350;12 104 330
Sultan;15 000;57 000
Surano;50 000;190 000
Drift Tampa;80 000;304 000
Tropos;40 000;152 000
Verlierer;70 000;266 000
CLASSIQUE SPORTIVES;;
Ardent;1 150 000;4 370 000
Btype;62 000;235 600
Btype Hotroad;155 000;589 000
Btype Luxe;85 000;323 000
Casco;30 000;114 000
